,,paragraphs,pre
144881,1,NWhat the fuck is he doing?,17
147427,0,Is that your car?,38
148476,1,Heythat's just fuckinThat's bullshitYou knowyou knowwhat the fuck?,17
148561,1,I'm what counts out hereNot your fuckincountry clubs or your fuckinTV showsAnd what the fuck are you doinon TV anyhow?!,17
148571,1,Where the fuck you get off talkinto people about me behind my backGoinover my head?,17
148605,1,The point is that she's upsetShe'sand you got a fuckinproblem.,38
148625,1,What the fuck happened to youWill you tell me?,17
148672,1,What the fuck is that supposed to mean?,17
148990,1,But even if you bought him a watcha really nice watchone that he thought was niceand he doesn't know what the fuck a good watch issoyou gofivetentwelve grand?,17
149258,1,Fuckinkids at homeHereGet the fuck out of here.,17
149366,0,Is that what you did?,38
149484,1,Get the fuck out of here.,17
149485,1,Get the fuck out of hereGet outGet the fuck out!,17
149487,1,How the fuck am I gonna get your fuckinmoney nowYou think he's gonna give you fuckinmoneyAre you out of your mindLook what you just did to this fuckinguyIf you would have just kept your fuckinmouth shutAhwhat the fuck is the useI should've never got invol-,17
149505,0,Is that what you want?,38
149515,1,He really thinks who the fuck he isI'll tell you that.,17
149729,1,Get her the fuck out of hereGet her out of here.,17
150355,0,That's illegalYou want us pulled overI'll turn around at the corner if you'll shut the fuck up.,17
150912,1,The fuck I will!,17
150943,1,RWho the fuck you kiddingSend me money!,17
151035,1,Who the fuck is he?,17
151186,1,DilDilWhat the fuck are you doing here?,17
151613,1,EWhat the fuck is this?,17
151755,1,What the fuck were you doing here?,17
151756,1,What the fuck am I doing here.,17
151758,1,OkayThat nice ladyMeets me in a barI'm saying what the fuck am I doing here anywayShe buys me a drinkShe holds my handI'm looking at her saying I don't like youbitchBut what the fuckMaybe I'll get to understand.,17
151782,1,Shut the fuck upwould you?,17
151784,1,What the fuck do you know about my people?,17
151833,1,I said shut the fuck up --,17
151866,1,EShut the fuck upJude.,17
152357,0,Your passportWhat kind of a proof is that?,38
152451,0,Is that allCan I go now?,38
153032,0,He's deadWe've got to get the fuck out of here!,17
153618,1,What the fuck was that?!,17
154045,1,Is that why you're hereTo blame...,38
154693,1,Why is that funny?,38
155086,0,Is that unusual?,38
155249,1,Shut the fuck up...Yes I remember nothingMiss Sessionsjust going over a detail or two with my associatesyou were saying?,17
156329,1,ERWhat the hell is that?,38
156573,1,ERWhat the fuck is thisI want some service!,17
156617,1,Get the fuck outta here already.,17
156706,1,WOULD YOU SHUT THE FUCK UPWHO THE FUCK IS IN THE BATHROOM?,17
156708,1,Shut the fuck up!,17
156774,1,What the fuck did you do that for?,17
156780,1,So your argument is that title dictates behavior?,38
157273,1,What the fuck did you do that for?,17
157315,1,"What the hell is that anyway""something like thirty-sixDoes that include me?",38
157424,1,WhatWhat is that?,38
157932,1,EWhat the fuck you mean you burned it?,17
157971,1,SThen where the fuck is!,17
158892,1,TWhat the fuck was <u>that?</u>,17
158950,1,TDon't take thatTell him to shut the fuck up.,17
159193,1,Is that what they told you?,38
159557,1,DrJonas thought you might be inclined not to cooperateWhy is that?,38
159629,0,How is that possibleHow could all that information be encoded in --,38
159794,1,Is that your official response?,38
160315,0,Is that your answerOld ManYou're a hardcase tooain't you?,38
160694,0,Is that it?,38
161072,0,Is that a gift from WendelIt has an aeronautical feel to it.,38
161758,1,What the fuck was all that about at the hotel last nightI thought we had a deal?,17
161989,1,What is that a threatAre you fuckinthreatening meMarcel?,38
162935,1,Whatthe hell is that?,38
163975,1,Is that my birthday cakeMay I see?,38
164046,0,But where is that?,38
164209,0,NNo way is that the same chickThe other one was a dog.,38
164327,1,What the fuck are we going to do?,17
164339,1,ERWhy the fuck would you do that?,17
164616,0,I knowThe important thing is that it stop.,38
164661,0,Is that how you feel?,38
164798,1,Oh greatWhat the fuck am I supposed to do?,17
164824,1,ERHow the hell is that your business?,38
164837,1,What the fuck are you following me forI'm not a suspect here.,17
165032,0,What is that door?,38
165255,0,Is that everybody?,38
166014,0,What is that?,38
166264,1,What is that supposed to mean?,38
166372,1,RWhich question is that?,38
166422,0,ANOh yeahWhat kind is that?,38
166505,0,CIRed cross over to blue double blue ...is that what it isA squid?,38
166789,0,ListenBiedermanI'm going to club you into the floor unless you tell me what the fuck is so important.,17
166822,1,Is that what it isI couldn't figure out.,38
167063,1,The fuck you didn'tGimme that!,17
167064,1,The fuck I did!!!,17
167139,1,Who are youWhat the fuck do you want?,17
167462,0,And two unparaunparalleled Cir-cass-ian beautiesWhat is that?,38
167818,0,What is that smile on your faceIs there anything wrong with me?,38
168243,1,Safe and soundthanks to youWhat the fuck was that?,17
168363,1,All rightenoughWho the fuck is on the phoneanywayIs that you MorettiYou on the phoneWill somebody talk to me?,17
168501,1,What the fuck do you want?,17
168806,1,Wait a minuteWhat the fuck you tryinto tell me?,17
168924,1,Who the hell is that?,38
168936,1,Anything to get the fuck out of dodge.,17
169034,0,Is that the decoder?,38
169040,0,Is that youDomino?,38
169085,1,What the fuck is your problemBitch<bINTSOPHIE TROMAS MANSIONKITCHENDAY </bDomino is loading her GUN at the kitchen table as Sophie serves breakfastDomino wolfs it down.,17
169107,1,...THEN SHUT THE FUCK UP!,17
169195,1,It's about turning that shit off and getting the fuck outta my pizzeria.,17
169418,1,Ya just got paidso leave me the fuck alone.,17
170079,0,Is that what I think it is?,38
171783,0,What is thisWhat's going onwho is that?,38
172023,0,WellI thought thatwellthe way it always works is that SGA president does a countthen the SGA advisoryou knowfor the two independent counts.,38
172385,1,Of course I amWhat kind of question is that?,38
172491,1,There are no rulesWhy the fuck are you doing thisThe Nite Owl made youYou want to tear all that down.,17
172517,1,Get the fuck away from me.,17
173016,1,Goddammitshut the fuck up and turn on CNN!,17
173034,1,What kind of a question is that?,38
173106,1,What the fuck?!,17
173461,1,OYou don't know who the fuck--,17
173581,1,Shut the fuck up.,17
173841,0,DSNow is that clear?,38
174380,0,Is that what you thinkIs that what you think I think?,38
175105,1,What the fuck did you do with my stuff?,17
175228,0,What is that?,38
175260,1,The fuck I'm notI don't care what the doctor says --,17
175301,1,Why the fuck should I respect her?,17
175327,1,Is that what you want?,38
175386,0,Is that what I think it is?,38
175743,0,Yeahand whose fault is that?,38
175764,0,WellI'm the neighborsTherenow we're introducedso you can shut the fuck up.,17
176808,1,What book is that?,38
176903,1,ALTwenty daysThe world is that big?,38
177433,0,Is that too tight?,38
177500,0,Is that a threat?,38
178603,1,Is that what you used to do?,38
178694,1,SoThe procnias averano is a South American birdThe flight here was only three hoursAnd yesterday a European swallow flew byWhere the fuck are we?,17
178761,0,Is that what you think?,38
178869,1,What the fuck do you think happenedCastor Troy just shot himWhat are you waiting forGO!,17
179041,1,Is that tonight?,38
179820,0,"Is that what you call it""<i>Real</i>""?",38
179839,0,What is that <i>thing</i>?,38
180455,1,Who the fuck are youWho the fuck are you?,17
180485,1,UDShut the fuck up or I'll throw you back in the trunkyou know.,17
180518,1,DON'T EVER INTERRUPT MEJERRYJUST SHUT THE FUCK UP!,17
181198,0,Is that your blood?,38
181290,0,Is that what you're calling it?,38
181296,1,What kind of stupid question is that?!,38
181510,0,What the fuck?,17
182053,1,Just shut the fuck up and maybe you'll live.,17
182122,1,Relaxyou need to chill the fuck out.,17
182887,0,Is that what your girlfriend does for you?,38
183148,1,What the hell is that?,38
183519,0,EWhat kind of doggy is that?,38
183601,1,Just get the fuck outta here.,17
183603,1,Now she's tellinme what the fuck to do.,17
183607,1,So get the fuck outta here.,17
183609,1,Hurry upyou're wastinmy timewhat the fuck.,17
184771,1,Why am I whatExcuse meI catch you saying the F-word againI'll kill youThat's a fucking promiseNow get the fuck out of here.,17
184794,1,Why shucksLtAnusyou told me to get the fuck out of here...,17
184796,1,OSGet the fuck out of herehoneyWhat do we got?,17
185141,0,Who is that guy?,38
185171,1,What is that old building?,38
185608,0,What the hell is that smell?,38
185677,1,DWho the fuck is this?,17
185703,0,What is that?,38
185830,0,Is that so bad?,38
186070,1,FYou're gonna be sorry if you don't shut the fuck up.,17
186167,1,FWhere the fuck is sheDuke?!,17
186225,1,FMiscarriageWho the fuck told you Jessica had a miscarriage?!,17
186262,1,The Captain's been murderedThe buzz is that Jason might be on board.,38
187209,0,Who is that young man?,38
187274,0,WellYou have all the answersHow is that possible?,38
187447,0,Is that all?,38
188533,0,WAnd why is that?,38
188540,0,Is that what I just said?,38
188597,0,Is that what I said?,38
188608,0,Is that what I said?,38
188931,1,How the fuck do I knowWhat...talk to me.,17
189128,0,"...then what is this ""you sayshitwhat is thatWhat is that...?",38
189147,1,Shut the fuck upRickyYou have a mean streak in youAnd what the fuck are you babbling about,17
189156,1,...the fuck is that supposed to mean...?,17
189377,0,Who's my palAnd what are youRickyhuhwhat are youBishop SheeanWho the fuck are youMrSlickWhat are youfriend to the workingmanBig dealFuck youyou got the memory a fuckinflyI never liked you.,17
189381,0,Is that what I didDaveI humiliated youMy God...I'm sorry...,38
190096,0,GELIPari Persuwhat the fuck is Pari persu...?,17
190313,0,Is that why you joined the MarinesFor your father's sake?,38
190332,0,Is that --?,38
190361,0,Is that really her?,38
191089,0,RAINESAtley JacksonHow is that oneHow's the leg?,38
191711,1,Will you get the fuck out of here.,17
191826,1,I don't know what the fuck you're doinYou're givinus a ride.,17
191856,1,Chuckiewhat the fuck happened?,17
191858,0,Is that true?,38
191893,1,EShut the fuck up.,17
191931,1,EWould you shut the fuck upI know what you orderedI was there!,17
192382,0,Is that why you didn't write anything else?,38
192479,1,What the fuck am I afraid of?!,17
192484,0,Is that what you think--,38
193340,1,Get the fuck outta here.,17
193493,0,Is that right?,38
193546,1,ERSWhy don't we just do his job thenso we can do our joband get the fuck out of here.,17
193971,0,Is that your version of a pep talk?,38
194400,0,What stuff is that?,38
195121,0,Is that himIs that him?,38
195281,0,Is that all you say?,38
196672,1,NGHow crazy is that.,38
196837,1,ERWhat is that supposed to mean...?,38
196994,0,NGWhat is that that smells so wonderful.,38
197386,1,AShut the fuck--!,17
197816,1,Shut the fuck upall right.,17
198159,1,Bretwhat the fuck...?,17
198419,1,What am Ia goddamn postmanI'm way the fuck up hereI'm scared a heightsand you want me to deliver a letterPut a stamp on it for Chrissake!,17
199764,1,What the fuck is that?,17
200301,1,GoWhat the fuck sort of journalists are werunning from a warI'm ashamedAre youWellare ya'?,17
200998,1,Don't think soStay the fuck back.,17
201296,1,What the hell is that?,38
201595,1,I'm JP Monroeyou stupid little bitchNow get the fuck out of my life.,17
201845,1,HudsonI'm afraid I'm sticking with GodBut you're a close secondtough guyWhat is that smile?,38
202230,0,Is that allMrBarnes?,38
204130,0,Is that bad?,38
205880,0,Is that me?,38
206346,1,NWhat in hell is that?,38
207448,0,Is that my punishment for embarrassing Mr Heineman?,38
207478,0,EWhat is that?,38
207662,0,Is that Margie?,38
208535,0,Is that all it's beenI thought it was longer.,38
208706,0,What is that?,38
208725,1,What kind of gun is that?,38
209005,0,what happens is that after a whilethe stones get smoothevery six weeksso the animal regurgitates them-,38
210239,0,Is that why Klute didn't tell me?,38
210413,1,Is that what you gave him?,38
210447,0,Is that how you met the DumperSomeone else gave --,38
210720,1,Is that really your chair?,38
211386,1,GYATSOWhere is that?,38
212049,0,<u>What</u<u>is</u<u>that</u>?,38
212374,1,Is that a pretty good jobFBI agent?,38
212802,0,And what is that?,38
213403,0,Is that youDean?,38
213438,0,What the fuck did you do to Fauntleroy?,17
213468,1,What the fuck is going on?,17
213496,1,Where the fuck are they goingTo butcher a sheepI thought this was a robbery.,17
213619,1,How the fuck should I know?,17
214662,1,What the fuck?,17
214809,1,NWhere the fuck is he?,17
214885,1,What the fuck are you doing here?,17
214998,1,Is that all?,38
215004,1,Is that all?,38
215026,1,How the fuck do you do that?,17
215694,1,Last night a guy named John Townsend tried to shoot me and now I find out you knew himWhat the fuck is going on?,17
216421,0,Finethen how many nights home is that?,38
216608,1,AGET THE FUCK OUT OF HERE.,17
216612,1,AYOU BURN IN BELLYou burn in hell and you deserve itYOU GET THE FUCK OUT.,17
216616,1,AFUCK YOUYOU GET THE FUCK OUT OF HERE.,17
216620,1,AGET THE FUCK OUT.,17
216622,1,AGet out of hereget the fuck out of my house --,17
216628,1,AYeahyeah rightwhat the fuck are doingWHAT THE FUCK ARE YOU DOING IN MY HOUSE?,17
216636,1,AWhat the fuck do you want?,17
216643,1,A...what the fuck is this...?,17
216724,1,AWell...is that illegal?,38
216967,1,"ON""Why don't you shut the fuck upis me to youChapter Right HereVerse Right Now.",17
217022,1,NWhat is that?,38
217156,1,Is that still lingering?,38
217282,0,MischiefWhat the fuck you talkinaboutmischief?,17
217348,1,What the fuck is thisJimmy?,17
217493,1,Shut the fuck up.,17
217497,1,Now you must really shut the fuck uppleaseShut The Fuck Up.,17
217499,1,Shut the fuck upShut the fuck up.,17
217501,1,Shut the fuck up.,17
217540,1,You motherfucker...you motherfuckerYOU FUCKING ASSHOLEWHO THE FUCK ARE YOUWHO THE FUCK DO YOU THINK YOU ARE?,17
217601,1,...oh Jesuswhat the fuck...?,17
217630,1,What the fuck is goinonWHAT THE FUCK IS GOING ON?,17
217632,1,....what the fuckwhat the fuck....,17
217636,0,What is that?,38
217793,0,What is that?,38
217982,0,PPEWhat is that?,38
218122,1,How did I get inYou're new hereand will soon learn many secretsWhat is that?,38
218165,1,AOutside hackerWhat the fuck are you talking about?,17
218358,1,LookJimmyyou knowI haven't seen you in eight yearsyou show up to my door like you're on drugsnow the least you could do is tell me what the fuck is going on!,17
218674,1,Is that youD?,38
219540,0,Is that...?,38
219702,1,What the fuck do they want with me?!,17
219868,1,MrWizardget me the fuck out of here!,17
221582,1,Expecting any other Jimmy's out hereMemory ManWhere the fuck's Teddy?,17
221586,1,What the fuck are you doing here?,17
221630,1,DShut the fuck up!,17
221633,1,EMaybe it isHow the fuck would you knowYou don't know a fucking thingYou can't get scaredcan you get angry?!,17
221787,0,DShe wasn't diabeticYou think I don'tknow my own wifeWhat the fuck is wrongwith you*,17
221799,1,DWhat the fuck are you talking about?,17
221860,1,DWho the fuck are you?,17
221862,1,DI'm gonna ask Natalie what the fuck that was all about.,17
222119,0,LAAnd what is that?,38
222630,0,ELRight herewhy notI prayed in saloonsI prayed in the streetI prayed an the toiletHe don't care wherewhat He wants is that prayer.,38
223229,1,I don't knowit's weirdbut a couple of broken bones hasn't done a lot for my creative juicesGet the fuck out of here.,17
223901,1,CKYesI believe that's rightNow my understanding is that 20 hours after exposurethe victim becomes infectiousHighly infectious.,38
225209,0,What is that?,38
225519,0,Is that clear?,38
225806,0,Is that the Queen's request?,38
226190,1,What the fuck is that?!,17
226362,0,Is that your question?,38
226365,0,Is...is that where we areDid I die?,38
226404,0,YeahsureIt is that kind of a dayWhen?,38
226764,0,Is that it ?,38
226882,0,AWhy don't you tell us what the fuck is going on ?,17
226905,1,What the fuck are you talking about.,17
226942,1,Just shut the fuck up.,17
226951,1,For once in your lifeshut the fuck up.,17
227746,0,Is that a yes?,38
227845,1,Is that why Uncle Phil moved there?,38
228105,0,Is that the fish you won at the carnival?,38
228352,1,Is that your camper?,38
228994,0,What is that sup...,38
229107,0,THow is that?,38
230186,0,Is that so?,38
230434,0,How often is that?,38
230535,1,DannyI can't fucking wait anymoreYou hear meNow where the fuck's my wife?,17
230539,0,SometimesAnd sometimes I don'tShut the fuck up!,17
230541,1,I fucking hate RaoulShut the fuck upassholesomeone.,17
230583,1,What the hell is that?,38
230722,1,NothinNot a goddamn thingWhat the fuck...,17
230970,1,AWhat the fuck kind of questions are those?,17
231272,0,Is that true?,38
231279,0,Why is that impossible?,38
231550,1,Are you nuts or somethingWhat the hell is that going to do?,38
231909,0,Why is that?,38
232452,0,Is that right?,38
233220,0,HYShootDocthe only one I'm disturbing is that old nurse and her fixed waysThat's all.,38
233253,0,Is that so?,38
233387,1,HYP.AWhat the hell is that?,38
233410,1,HYWhat kind of crap is that???,38
233695,1,Boythat looks tastyWhat is that?,38
233773,1,Ohcome onWhat kind of an excuse is that?,38
233836,0,Kate is that you?,38
234030,0,Is that bad?...,38
235136,0,Is that SnoopyIn the purple doo rag?,38
235257,1,Is that what you would've done?,38
235332,0,EThis kind of setupyou don't have any idea what the fuck you're doingdo you?,17
235382,1,"Sign says ""Shut the fuck upOr can't you guys read?",17
235455,1,Is that how you think of yourself?,38
235520,0,Is that right?,38
235705,1,<i>Hejira?</iWhat kinda name is that?,38
235723,1,NothingI just wanna get the fuck outta here.,17
235938,1,EWhere the fuck is Foley?,17
235954,0,EYear agoI come in here on credit card fraudbut after I shanked that loudmouth pussy on the yard the other daymy DunnBroadstreethas gone way the fuck up.,17
235959,1,E...the fuck is this...,17
236032,1,Who the fuck taught you to fly?,17
236183,0,Is that the good newSiror --,38
236431,1,EWhat the hell is that?,38
236684,0,Is that one of your poems?,38
237028,1,God damn it Gusyou dug up my wifeWhat the fuck is going on around here?!,17
237312,1,What kind of person is that?,38
237516,0,Is that a question?,38
238411,0,SWhat is that?,38
238576,1,Where the fuck is red platoonTell 'em to get their asses up hereWhat the fuck you doinback here EliasRound up your assholes and move 'em up frontwe're getting chopped to shit.,17
238581,1,WHAT THE FUCK YOU DOING!,17
238667,1,La DaiLa DaiGET THE FUCK OUTTA THERE!,17
238721,1,How the fuck you get over here manyou look like you educated...,17
238744,0,No I don'tI don't know what the fuck you're talking aboutElias,17
238747,1,Why the fuck didn't you do something Lieutenant!,17
239259,0,NEWhere did it all come fromOr is that a permissible question?,38
240927,0,Is that allYou just fold back the bedspread?,38
240978,0,OMASAnd who is that?,38
241071,1,BLACKAnd what is that worththe promise of a womanYou're very funnyHighness.,38
241240,0,ATHERWellwho says life is fairWhere is that writtenLife isn't always fair.,38
241394,0,BLACKAnd what is that?,38
242936,0,Is that a fact?,38
243223,1,Is that Doctor still up thereBrother.,38
243297,0,Is that all?,38
243908,1,Hey nowwhat the fuck?,17
244137,1,Who the fuck knowsWe'll find out soon enough.,17
244152,0,Who is that?,38
245543,1,NTINOWhat the hell is that?,38
245767,1,IOTell me in sadnesswho is that you love.,38
245793,0,Unclethis is that villain Romeoa Montagueour foe.,38
245856,0,Madamin happy time what day is that?,38
246067,1,Who the fuck are you?,17
246127,0,Is that right?,38
246293,0,Is that right?,38
246305,0,Is that right?,38
246315,1,Who the fuck died and appointed you food czar?,17
246381,1,TWhat the fuck happened?,17
246427,1,TAnd what job is that?,38
246494,0,TThere is that.,38
247194,0,How much is that?,38
247202,1,What the hell is that?,38
247444,0,Wait a secwhat the hell is that between her legs?,38
247701,1,L AGENT STERLINGWho the hell is that?,38
247857,1,what the hell is that?,38
247915,1,I wouldn't be close to youWhat is that perfumegirl?,38
247955,1,What kind of assignment is that?,38
248591,0,Is that all right with you?,38
248952,0,That's trueWhy is that?,38
248998,1,Is that what she used to sing?,38
249032,0,"""Dear Sleepless in SeattleI am an SWFWhat is that?",38
249497,1,Who the fuck are youDrJoyce Brothers?,17
249544,1,EWho the fuck are youDrJoyce BrothersI hate the son-of-a-bitch.,17
249614,1,What the hell is that?,38
249710,1,EARWhat the fuck are you gonna do about itdickhead?,17
250205,0,YeahWhat rule of thumb is that?,38
251738,0,Who is that guy?,38
251766,0,Is that coolJust to leave her like that?,38
251854,1,Alright I'm hereWhat the fuck do you want from me?,17
251983,1,Is that a threat?,38
251985,1,Is that a threatDetective?,38
252059,0,And who is that?,38
252141,1,Listen you sick bastardwhat the fuck do you want?,17
252270,1,Who the fuck is this?,17
252282,1,Where the fuck did she go?,17
252342,1,You bitchwhere the fuck are you?,17
252570,1,We gotta get backJesusHe's hereWhat the fuck is he doing here?,17
252786,0,And why is that?,38
252888,1,You heard Billyshut the fuck up.,17
253091,1,What the fuck is going on?,17
253095,1,What the fuck is going on here?!,17
253106,0,Andwhy is that?,38
253177,1,What the fuck is wrong with youWhat burnt you out?,17
253180,1,Why don't you shut the fuck up for a whileYou bitch and complainif I thought like youI would have slit my wrist already.,17
253212,1,What the fuck is wrong with you?,17
253338,1,What the fuck is that?,17
253983,1,What kind of a horrible thing is that?,38
254164,0,ANWho is that?,38
254952,1,Is that all?,38
255880,1,When is that?,38
255967,1,You'll do what I tell youNow get the fuck inside.,17
256225,0,Is that right?,38
256227,0,Is that right?,38
256305,0,Who is that?,38
256771,1,FineWhy don't you start right now and get the fuck out of herehmm?,17
257294,0,YRight to HellJust kiddingWhere is that bus?,38
257871,0,LANCASTERWhat is that?,38
257960,0,DWhat is that you wear?,38
258551,0,Is that right?,38
259224,1,Is that allI thought it was about three hundred.,38
259414,1,TYBabyAnd what baby is that?,38
259434,0,YeahAnd why is that?,38
259585,0,Is that what you doDraw pictures?,38
259712,1,Is that your third question?,38
259870,1,Wellthe sheriff found <u>two</ubatteries in your wellIf you left one with Carl Heinehow is that possible?,38
260794,0,Is that anything?,38
261615,1,LEESeptember 4how far away is that?,38
261944,1,NWhy the fuck not?,17
261950,1,NHow the fuck should I know!!,17
262631,0,Is that clear?,38
262844,1,TWhat the hell is that?,38
263031,1,What the fuck is this?,17
263645,1,Wellwhere the fuck is he?,17
263729,0,What is that?,38
264743,1,Noyou're notWhat kind of talk is that...,38
265066,1,Planet PWhat kind of name is that ?,38
265174,0,Is that your signatureRico ?,38
265302,0,V'ger is that which seeks the Creator.,38
265304,0,The Creator is that which created V'ger.,38
265312,0,V'ger is that which programmed me.,38
265885,0,You wrote a play on itwhat play is that?,38
265993,0,What is that in fingersJust kiddingget me this horse.,38
266169,0,Who is that...?,38
266479,0,What is that...?,38
266497,0,Is that one hell of a kid?,38
266833,0,IS THAT YOU?,38
266922,1,Is that like Luigi's?,38
267106,1,Shut the fuck up<u>I</udidn't go behind <u>your</uback.,17
267122,1,Is that what you're worried aboutLooking bad at the PTA?,38
267137,1,Is that what he told you?,38
267579,1,What the fuck are you talking aboutWhat's OK?,17
269049,0,Is that Bee-Bee?,38
269141,1,If it's all so fucking futilewhat the fuck are you so fucking upset aboutfuckhead?,17
269198,1,Is that a threat?,38
269314,0,Yeahmanmalesignificant otherwhatever the fuck I am.,17
269435,1,What the fuck are you talking about?!,17
269437,1,Timwhy don't you shut the fuck up?,17
269443,0,Is that Jeff?,38
269522,0,Is that your driver?,38
269609,1,S MOMYou know the fuck not.,17
269610,1,The fuck not?,17
270057,0,Is that soWhat's the wonderful news?,38
270432,0,Is that so!,38
270458,0,Is that So?,38
271449,1,Not quiteWhat is that in the lower right hand corner?,38
272107,1,Is that what they're calling him?,38
272444,1,Is that real enough for you?,38
273341,0,Is that a factHe's a dillyain't heBy the bywhat did he have against this boy?,38
274529,1,ASWhat the fuck are you?,17
274564,1,ASWho the fuck cares?,17
275010,1,GUYWhat the fuck?!,17
275070,0,Is that the question of compassion or science?,38
275155,0,What is that tune?,38
275402,0,Is that a problem?,38
275426,1,INEWellcan we make it one moreNowhere the fuck near me.,17
275911,1,ISORListenget the fuck out of here before you get hurtWho the fuck do you think you arewaltzing in hereasking questions?,17
276651,0,GASTWhere is that?,38
276711,1,ANHoly motherwhat is that?,38
277512,0,Is that what you'd like me to do?,38
278576,1,DWell what the fuck do you expect me to do about it.,17
278692,1,GSWhy the fuck not?,17
278719,1,GSWho the fuck are you?,17
278922,1,Get the fuck away from me.,17
279068,1,You can have chicken with eggs but not with milkWhy is that?,38
279768,0,WhoWho is that?,38
280374,0,DWhere is that?,38
281029,1,ALIANWhoI don’t know who the fuck you’re talking aboutsunshine.,17
281750,0,Is that bad?,38
283266,0,Is that true?,38
283385,0,Is that another Christmas present?,38
283772,0,Is that goodor bad?,38
284466,1,What kind of answer is that?,38
284717,0,What is that?,38
285662,0,It is that simple.,38
286052,0,Is that a nice way to talk to a pal?,38
286327,0,Is that one of the Who's Who?,38
287358,0,Is that Mandarinor Cantonese?,38
287576,0,ROTHERWhat is that?,38
287603,1,How is that hen doingI was meaning to pip her before I fell sick.,38
288003,1,Why is that soldier strapped to an explosive device?,38
288763,1,This is a businessGet the fuck outta here.,17
288860,0,Four kilosThat's whatTen yearsworthRussian sailorsMikey ForresterWhat the fuck are you on these daysYou've been to jailSpudso what's the deallike it so much you want to go back again?,17
288902,0,Is that a promisethen?,38
288949,1,I didn't eitherWhat the fuck is it?,17
290448,1,CEGoddamn itAlabamayou gotta get the fuck outta thereHow much longer before he's slappinyou aroundPunchinyou in the stomachHow the fuck did you get hooked up with a douche-bag like this in the first place?,17
290501,0,AYou betHow much is that worth?,38
290615,1,What the fuck are you talkinabout?,17
290659,1,Who the fuck are you?,17
290661,1,Where the fuck is that bitch?,17
290675,1,What the fuck did you bring that for.,17
290746,1,Get the fuck outta here!,17
290748,1,Get the fuck outta here!,17
290909,0,TIThat's of minor importanceBut what's of major fuckinimportance is that I believe youWhere did they go?,38
290969,1,SONHow the fuck could he know?,17
291688,0,Jakewhat is that?,38
291832,0,Is that what changed your mindThe money?,38
292541,1,What the fuck do you want?,17
292605,1,What the fuck did you do to my trunk?,17
292786,0,Is that what changed your mindThe money?,38
293146,1,Is that what you wanted to ask me?,38
293307,0,Is that right?,38
293778,0,IS THAT YOUKID?,38
294144,1,What'the fuck is that?,17
294425,0,NONWhat book is that?,38
294427,0,NONHow is that?,38
294520,0,Is that what a good doctor would doHow old are youplease?,38
294524,0,Why is that?,38
294672,0,Why is that?,38
294715,0,What is that to you...?,38
294748,0,...and is that serious?,38
294894,0,Sally Doneghynow who is that?,38
294896,0,now who is that ...?,38
294975,0,HuhAnd why is that?,38
295793,1,Well what the fuck are we supposed to do?,17
296197,1,What kind of stupid question is that?,38
296670,0,How much is that?,38
297625,0,NGWelllet's not be too surewhy is that?,38
297733,1,"Y'know what else bothers me""Shh lil babydonsaya wordpapa's gon buy you a mocking birdThe baby don'say a wordWHAT THE FUCK IS THE MOTHERFUCKING MOCKING BIRD GONE SAYYou follow me...?",17
297750,0,Just....do what I ...lookget me a ...helloHelI'm going to need an <u>ambulance</uwe take himthe last momentright from the Pl...no<u>we</ulandwe puttem <u>in</uthe ambulanceAir force jet landswe take somebody <u>else</uoff <u>that</ujet...what the fuck do <u>I</ucareSomebody in a Hospital gownAnd we need a ......helloHello...?,17
297876,1,How the fuck do <u>we</uknowYou take my point?,17
297877,0,Is that true?,38
299802,0,Is that what you were doing...?,38
299803,0,Is that a crack about our singing...?,38
300078,0,Ohhow inappropriate is that!,38
300889,0,Why is that?,38
301014,0,Is that Sam Lombardo?,38
301120,0,Is that what you thinkYou have friendsIs that what they told you?,38
301234,0,SGod in heavenwhat is that?!,38
301263,0,What is that?,38
301305,0,What way is that?,38
301623,0,TIGANWho is that girlanyway?,38
301810,1,Who is that horrible friend of yours?,38
302090,1,Johnnywhat the fuck?,17
302405,1,YWhat sort of an animal is that?,38
303473,1,What is that ungodly smell?,38
303520,0,Is that all?,38
303548,0,Is that a fact?,38
303553,0,SWhy is that?,38
303618,0,What game is that?,38
304057,0,Is that so?,38
304653,0,FORDMy only fear is that the Zulu will avoid the engagement,38
